"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
cv2_0,memory_guided_delay_0,,text,"Coefficient of variation of saccadic reaction time of second saccade of correct trials",,,number,0,100,,,y,,
eseqn_0,memory_guided_delay_0,,text,"Number of sequence Errors",,,integer,0,72,,,y,,
eseqper_0,memory_guided_delay_0,,text,"Percent of sequence errors",,,number,0,100,,,y,,
eskipn_0,memory_guided_delay_0,,text,"Number of trials where they skipped the first target and go to second only",,,integer,0,72,,,y,,
eskipper_0,memory_guided_delay_0,,text,"Percent of trials where they skipped the first target and go to second only",,,number,0,100,,,y,,
estopn_0,memory_guided_delay_0,,text,"Number of trials where they went to the first target only and stopped",,,integer,0,72,,,y,,
estopper_0,memory_guided_delay_0,,text,"Percent of trials where they went to the first target only and stopped",,,number,0,100,,,y,,
eseqetimen_0,memory_guided_delay_0,,text,"Number of trials that are sequence and timing errors",,,integer,0,72,,,y,,
eseqetimeper_0,memory_guided_delay_0,,text,"Percent of trials that are sequence and timing errors",,,number,0,100,,,y,,
corretimen_0,memory_guided_delay_0,,text,"Number of timing errors",,,integer,0,72,,,y,,
corretimeper_0,memory_guided_delay_0,,text,"Percent of timing errors",,,number,0,100,,,y,,
eseqefalsen_0,memory_guided_delay_0,,text,"Number of false starts with sequence errors",,,integer,0,72,,,y,,
eseqefalseper_0,memory_guided_delay_0,,text,"Percent of false starts with sequence errors",,,number,0,100,,,y,,
correfalsen_0,memory_guided_delay_0,,text,"Number of false starts only",,,integer,0,72,,,y,,
correfalseper_0,memory_guided_delay_0,,text,"Percent of false starts only",,,number,0,100,,,y,,
stepn_0,memory_guided_delay_0,,text,"Number of trials with step saccades",,,integer,0,72,,,y,,
stepper_0,memory_guided_delay_0,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
vel1_0,memory_guided_delay_0,,text,"Velocity of first saccade",,,number,30,800,,,y,,
amp1_0,memory_guided_delay_0,,text,"Amplitude of the first saccade",,,number,5,50,,,y,,
vel2_0,memory_guided_delay_0,,text,"Velocity of second saccade",,,number,30,800,,,y,,
amp2_0,memory_guided_delay_0,,text,"Amplitude of the second saccade",,,number,5,50,,,y,,
firstang_0,memory_guided_delay_0,,text,"Angle between direct path to target and first saccade",,,number,0,100,,,y,,
fsac_acc_0,memory_guided_delay_0,,text,"Accuracy of the first saccade",,,number,0,200,,,y,,
acc_0,memory_guided_delay_0,,text,"Accuracy of the final fixation to the second target",,,number,0,200,,,y,,
fix_acc_t1_0,memory_guided_delay_0,,text,"Accuracy of the closest fixation to T1(most useful)",,,number,0,200,,,y,,
fix_acc_0,memory_guided_delay_0,,text,"Accuracy of the closest fixation to T2(most useful)",,,number,0,200,,,y,,
plength_acc_0,memory_guided_delay_0,,text,"Path length accuracy (actual/optimal path length)",,,number,0,200,,,y,,
n_600,memory_guided_delay_600,,text,"Number of correct trials",,,integer,0,72,,,y,,
vn_600,memory_guided_delay_600,,text,"Number of viable trials",,,integer,36,72,,,y,,
srt1_600,memory_guided_delay_600,,text,"Saccadic reaction time of first saccade of correct trials",,,number,90,700,,,y,,
std1_600,memory_guided_delay_600,,text,"Standard deviation of saccadic reaction time of first saccade of correct trials",,,number,,,,,y,,
cv1_600,memory_guided_delay_600,,text,"Coefficient of variation of saccadic reaction time of first saccade of correct trials",,,number,0,100,,,y,,
srt2_600,memory_guided_delay_600,,text,"Saccadic reaction time of second saccade of correct trials",,,number,90,700,,,y,,
std2_600,memory_guided_delay_600,,text,"Standard deviation of saccadic reaction time of second saccade of correct trials",,,number,,,,,y,,
cv2_600,memory_guided_delay_600,,text,"Coefficient of variation of saccadic reaction time of second saccade of correct trials",,,number,0,100,,,y,,
eseqn_600,memory_guided_delay_600,,text,"Number of sequence Errors",,,integer,0,72,,,y,,
eseqper_600,memory_guided_delay_600,,text,"Percent of sequence errors",,,number,0,100,,,y,,
eskipn_600,memory_guided_delay_600,,text,"Number of trials where they skipped the first target and go to second only",,,integer,0,72,,,y,,
eskipper_600,memory_guided_delay_600,,text,"Percent of trials where they skipped the first target and go to second only",,,number,0,100,,,y,,
estopn_600,memory_guided_delay_600,,text,"Number of trials where they went to the first target only and stopped",,,integer,0,72,,,y,,
estopper_600,memory_guided_delay_600,,text,"Percent of trials where they went to the first target only and stopped",,,number,0,100,,,y,,
eseqetimen_600,memory_guided_delay_600,,text,"Number of trials that are sequence and timing errors",,,integer,0,72,,,y,,
eseqetimeper_600,memory_guided_delay_600,,text,"Percent of trials that are sequence and timing errors",,,number,0,100,,,y,,
corretimen_600,memory_guided_delay_600,,text,"Number of timing errors",,,integer,0,72,,,y,,
corretimeper_600,memory_guided_delay_600,,text,"Percent of timing errors",,,number,0,100,,,y,,
eseqefalsen_600,memory_guided_delay_600,,text,"Number of false starts with sequence errors",,,integer,0,72,,,y,,
eseqefalseper_600,memory_guided_delay_600,,text,"Percent of false starts with sequence errors",,,number,0,100,,,y,,
correfalsen_600,memory_guided_delay_600,,text,"Number of false starts only",,,integer,0,72,,,y,,
correfalseper_600,memory_guided_delay_600,,text,"Percent of false starts only",,,number,0,100,,,y,,
stepn_600,memory_guided_delay_600,,text,"Number of trials with step saccades",,,integer,0,72,,,y,,
stepper_600,memory_guided_delay_600,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
vel1_600,memory_guided_delay_600,,text,"Velocity of first saccade",,,number,30,800,,,y,,
amp1_600,memory_guided_delay_600,,text,"Amplitude of the first saccade",,,number,5,50,,,y,,
vel2_600,memory_guided_delay_600,,text,"Velocity of second saccade",,,number,30,800,,,y,,
amp2_600,memory_guided_delay_600,,text,"Amplitude of the second saccade",,,number,5,50,,,y,,
firstang_600,memory_guided_delay_600,,text,"Angle between direct path to target and first saccade",,,number,0,100,,,y,,
fsac_acc_600,memory_guided_delay_600,,text,"Accuracy of the first saccade",,,number,0,200,,,y,,
acc_600,memory_guided_delay_600,,text,"Accuracy of the final fixation to the second target",,,number,0,200,,,y,,
fix_acc_t1_600,memory_guided_delay_600,,text,"Accuracy of the closest fixation to T1(most useful)",,,number,0,200,,,y,,
fix_acc_600,memory_guided_delay_600,,text,"Accuracy of the closest fixation to T2(most useful)",,,number,0,200,,,y,,
plength_acc_600,memory_guided_delay_600,,text,"Path length accuracy (actual/optimal path length)",,,number,0,200,,,y,,
n_1200,memory_guided_delay_1200,,text,"Number of correct trials",,,integer,0,72,,,y,,
vn_1200,memory_guided_delay_1200,,text,"Number of viable trials",,,integer,36,72,,,y,,
srt1_1200,memory_guided_delay_1200,,text,"Saccadic reaction time of first saccade of correct trials",,,number,90,700,,,y,,
std1_1200,memory_guided_delay_1200,,text,"Standard deviation of saccadic reaction time of first saccade of correct trials",,,number,,,,,y,,
cv1_1200,memory_guided_delay_1200,,text,"Coefficient of variation of saccadic reaction time of first saccade of correct trials",,,number,0,100,,,y,,
srt2_1200,memory_guided_delay_1200,,text,"Saccadic reaction time of second saccade of correct trials",,,number,90,700,,,y,,
std2_1200,memory_guided_delay_1200,,text,"Standard deviation of saccadic reaction time of second saccade of correct trials",,,number,,,,,y,,
cv2_1200,memory_guided_delay_1200,,text,"Coefficient of variation of saccadic reaction time of second saccade of correct trials",,,number,0,100,,,y,,
eseqn_1200,memory_guided_delay_1200,,text,"Number of sequence Errors",,,integer,0,72,,,y,,
eseqper_1200,memory_guided_delay_1200,,text,"Percent of sequence errors",,,number,0,100,,,y,,
eskipn_1200,memory_guided_delay_1200,,text,"Number of trials where they skipped the first target and go to second only",,,integer,0,72,,,y,,
eskipper_1200,memory_guided_delay_1200,,text,"Percent of trials where they skipped the first target and go to second only",,,number,0,100,,,y,,
estopn_1200,memory_guided_delay_1200,,text,"Number of trials where they went to the first target only and stopped",,,integer,0,72,,,y,,
estopper_1200,memory_guided_delay_1200,,text,"Percent of trials where they went to the first target only and stopped",,,number,0,100,,,y,,
eseqetimen_1200,memory_guided_delay_1200,,text,"Number of trials that are sequence and timing errors",,,integer,0,72,,,y,,
eseqetimeper_1200,memory_guided_delay_1200,,text,"Percent of trials that are sequence and timing errors",,,number,0,100,,,y,,
corretimen_1200,memory_guided_delay_1200,,text,"Number of timing errors",,,integer,0,72,,,y,,
corretimeper_1200,memory_guided_delay_1200,,text,"Percent of timing errors",,,number,0,100,,,y,,
eseqefalsen_1200,memory_guided_delay_1200,,text,"Number of false starts with sequence errors",,,integer,0,72,,,y,,
eseqefalseper_1200,memory_guided_delay_1200,,text,"Percent of false starts with sequence errors",,,number,0,100,,,y,,
correfalsen_1200,memory_guided_delay_1200,,text,"Number of false starts only",,,integer,0,72,,,y,,
correfalseper_1200,memory_guided_delay_1200,,text,"Percent of false starts only",,,number,0,100,,,y,,
stepn_1200,memory_guided_delay_1200,,text,"Number of trials with step saccades",,,integer,0,72,,,y,,
stepper_1200,memory_guided_delay_1200,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
vel1_1200,memory_guided_delay_1200,,text,"Velocity of first saccade",,,number,30,800,,,y,,
amp1_1200,memory_guided_delay_1200,,text,"Amplitude of the first saccade",,,number,5,50,,,y,,
vel2_1200,memory_guided_delay_1200,,text,"Velocity of second saccade",,,number,30,800,,,y,,
amp2_1200,memory_guided_delay_1200,,text,"Amplitude of the second saccade",,,number,5,50,,,y,,
firstang_1200,memory_guided_delay_1200,,text,"Angle between direct path to target and first saccade",,,number,0,100,,,y,,
fsac_acc_1200,memory_guided_delay_1200,,text,"Accuracy of the first saccade",,,number,0,200,,,y,,
acc_1200,memory_guided_delay_1200,,text,"Accuracy of the final fixation to the second target",,,number,0,200,,,y,,
fix_acc_t1_1200,memory_guided_delay_1200,,text,"Accuracy of the closest fixation to T1(most useful)",,,number,0,200,,,y,,
fix_acc_1200,memory_guided_delay_1200,,text,"Accuracy of the closest fixation to T2(most useful)",,,number,0,200,,,y,,
plength_acc_1200,memory_guided_delay_1200,,text,"Path length accuracy (actual/optimal path length)",,,number,0,200,,,y,,
n_1800,memory_guided_delay_1800,,text,"Number of correct trials",,,integer,0,72,,,y,,
vn_1800,memory_guided_delay_1800,,text,"Number of viable trials",,,integer,36,72,,,y,,
srt1_1800,memory_guided_delay_1800,,text,"Saccadic reaction time of first saccade of correct trials",,,number,90,700,,,y,,
std1_1800,memory_guided_delay_1800,,text,"Standard deviation of saccadic reaction time of first saccade of correct trials",,,number,,,,,y,,
cv1_1800,memory_guided_delay_1800,,text,"Coefficient of variation of saccadic reaction time of first saccade of correct trials",,,number,0,100,,,y,,
srt2_1800,memory_guided_delay_1800,,text,"Saccadic reaction time of second saccade of correct trials",,,number,90,700,,,y,,
std2_1800,memory_guided_delay_1800,,text,"Standard deviation of saccadic reaction time of second saccade of correct trials",,,number,,,,,y,,
cv2_1800,memory_guided_delay_1800,,text,"Coefficient of variation of saccadic reaction time of second saccade of correct trials",,,number,0,100,,,y,,
eseqn_1800,memory_guided_delay_1800,,text,"Number of sequence Errors",,,integer,0,72,,,y,,
eseqper_1800,memory_guided_delay_1800,,text,"Percent of sequence errors",,,number,0,100,,,y,,
eskipn_1800,memory_guided_delay_1800,,text,"Number of trials where they skipped the first target and go to second only",,,integer,0,72,,,y,,
eskipper_1800,memory_guided_delay_1800,,text,"Percent of trials where they skipped the first target and go to second only",,,number,0,100,,,y,,
estopn_1800,memory_guided_delay_1800,,text,"Number of trials where they went to the first target only and stopped",,,integer,0,72,,,y,,
estopper_1800,memory_guided_delay_1800,,text,"Percent of trials where they went to the first target only and stopped",,,number,0,100,,,y,,
eseqetimen_1800,memory_guided_delay_1800,,text,"Number of trials that are sequence and timing errors",,,integer,0,72,,,y,,
eseqetimeper_1800,memory_guided_delay_1800,,text,"Percent of trials that are sequence and timing errors",,,number,0,100,,,y,,
corretimen_1800,memory_guided_delay_1800,,text,"Number of timing errors",,,integer,0,72,,,y,,
corretimeper_1800,memory_guided_delay_1800,,text,"Percent of timing errors",,,number,0,100,,,y,,
eseqefalsen_1800,memory_guided_delay_1800,,text,"Number of false starts with sequence errors",,,integer,0,72,,,y,,
eseqefalseper_1800,memory_guided_delay_1800,,text,"Percent of false starts with sequence errors",,,number,0,100,,,y,,
correfalsen_1800,memory_guided_delay_1800,,text,"Number of false starts only",,,integer,0,72,,,y,,
correfalseper_1800,memory_guided_delay_1800,,text,"Percent of false starts only",,,number,0,100,,,y,,
stepn_1800,memory_guided_delay_1800,,text,"Number of trials with step saccades",,,integer,0,72,,,y,,
stepper_1800,memory_guided_delay_1800,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
vel1_1800,memory_guided_delay_1800,,text,"Velocity of first saccade",,,number,30,800,,,y,,
amp1_1800,memory_guided_delay_1800,,text,"Amplitude of the first saccade",,,number,5,50,,,y,,
vel2_1800,memory_guided_delay_1800,,text,"Velocity of second saccade",,,number,30,800,,,y,,
amp2_1800,memory_guided_delay_1800,,text,"Amplitude of the second saccade",,,number,5,50,,,y,,
firstang_1800,memory_guided_delay_1800,,text,"Angle between direct path to target and first saccade",,,number,0,100,,,y,,
fsac_acc_1800,memory_guided_delay_1800,,text,"Accuracy of the first saccade",,,number,0,200,,,y,,
acc_1800,memory_guided_delay_1800,,text,"Accuracy of the final fixation to the second target",,,number,0,200,,,y,,
fix_acc_t1_1800,memory_guided_delay_1800,,text,"Accuracy of the closest fixation to T1(most useful)",,,number,0,200,,,y,,
fix_acc_1800,memory_guided_delay_1800,,text,"Accuracy of the closest fixation to T2(most useful)",,,number,0,200,,,y,,
plength_acc_1800,memory_guided_delay_1800,,text,"Path length accuracy (actual/optimal path length)",,,number,0,200,,,y,,
n_all,memory_guided_all,,text,"Number of correct trials",,,integer,0,72,,,y,,
vn_all,memory_guided_all,,text,"Number of viable trials",,,integer,36,72,,,y,,
srt1_all,memory_guided_all,,text,"Saccadic reaction time of first saccade of correct trials",,,number,90,700,,,y,,
std1_all,memory_guided_all,,text,"Standard deviation of saccadic reaction time of first saccade of correct trials",,,number,,,,,y,,
cv1_all,memory_guided_all,,text,"Coefficient of variation of saccadic reaction time of first saccade of correct trials",,,number,0,100,,,y,,
srt2_all,memory_guided_all,,text,"Saccadic reaction time of second saccade of correct trials",,,number,90,700,,,y,,
std2_all,memory_guided_all,,text,"Standard deviation of saccadic reaction time of second saccade of correct trials",,,number,,,,,y,,
cv2_all,memory_guided_all,,text,"Coefficient of variation of saccadic reaction time of second saccade of correct trials",,,number,0,100,,,y,,
eseqn_all,memory_guided_all,,text,"Number of sequence Errors",,,integer,0,72,,,y,,
eseqper_all,memory_guided_all,,text,"Percent of sequence errors",,,number,0,100,,,y,,
eskipn_all,memory_guided_all,,text,"Number of trials where they skipped the first target and go to second only",,,integer,0,72,,,y,,
eskipper_all,memory_guided_all,,text,"Percent of trials where they skipped the first target and go to second only",,,number,0,100,,,y,,
estopn_all,memory_guided_all,,text,"Number of trials where they went to the first target only and stopped",,,integer,0,72,,,y,,
estopper_all,memory_guided_all,,text,"Percent of trials where they went to the first target only and stopped",,,number,0,100,,,y,,
eseqetimen_all,memory_guided_all,,text,"Number of trials that are sequence and timing errors",,,integer,0,72,,,y,,
eseqetimeper_all,memory_guided_all,,text,"Percent of trials that are sequence and timing errors",,,number,0,100,,,y,,
corretimen_all,memory_guided_all,,text,"Number of timing errors",,,integer,0,72,,,y,,
corretimeper_all,memory_guided_all,,text,"Percent of timing errors",,,number,0,100,,,y,,
eseqefalsen_all,memory_guided_all,,text,"Number of false starts with sequence errors",,,integer,0,72,,,y,,
eseqefalseper_all,memory_guided_all,,text,"Percent of false starts with sequence errors",,,number,0,100,,,y,,
correfalsen_all,memory_guided_all,,text,"Number of false starts only",,,integer,0,72,,,y,,
correfalseper_all,memory_guided_all,,text,"Percent of false starts only",,,number,0,100,,,y,,
stepn_all,memory_guided_all,,text,"Number of trials with step saccades",,,integer,0,72,,,y,,
stepper_all,memory_guided_all,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
vel1_all,memory_guided_all,,text,"Velocity of first saccade",,,number,30,800,,,y,,
amp1_all,memory_guided_all,,text,"Amplitude of the first saccade",,,number,5,50,,,y,,
vel2_all,memory_guided_all,,text,"Velocity of second saccade",,,number,30,800,,,y,,
amp2_all,memory_guided_all,,text,"Amplitude of the second saccade",,,number,5,50,,,y,,
firstang_all,memory_guided_all,,text,"Angle between direct path to target and first saccade",,,number,0,100,,,y,,
fsac_acc_all,memory_guided_all,,text,"Accuracy of the first saccade",,,number,0,200,,,y,,
acc_all,memory_guided_all,,text,"Accuracy of the final fixation to the second target",,,number,0,200,,,y,,
fix_acc_t1_all,memory_guided_all,,text,"Accuracy of the closest fixation to T1(most useful)",,,number,0,200,,,y,,
fix_acc_all,memory_guided_all,,text,"Accuracy of the closest fixation to T2(most useful)",,,number,0,200,,,y,,
plength_acc_all,memory_guided_all,,text,"Path length accuracy (actual/optimal path length)",,,number,0,200,,,y,,
agacsum,parent_abas,,text,"GAC sum of scaled scores",,,,,,,,,,
agaccomp,parent_abas,,text,"GAC composite score",,,,,,,,,,
agacrank,parent_abas,,text,"GAC percentile rank",,,number,0,100,,,,,
agacqual,parent_abas,,text,"GAC qualitative range",,,,,,,,,,
aconsum,parent_abas,,text,"Conceptual sum of scaled scores",,,,,,,,,,
aconcomp,parent_abas,,text,"Conceptual composite score",,,,,,,,,,
aconrank,parent_abas,,text,"Conceptual percentile rank",,,number,0,100,,,,,
aconqual,parent_abas,,text,"Conceptual qualitative range",,,,,,,,,,
asocsum,parent_abas,,text,"Social sum of scaled scores",,,,,,,,,,
asoccomp,parent_abas,,text,"Social composite score",,,,,,,,,,
asocrank,parent_abas,,text,"Social percentile rank",,,number,0,100,,,,,
asocqual,parent_abas,,text,"Social qualitative range",,,,0,200,,,,,
apracsum,parent_abas,,text,"Practical sum of scaled scores",,,,0,200,,,,,
apraccomp,parent_abas,,text,"Practical composite score",,,,0,200,,,,,
apracrank,parent_abas,,text,"Practical percentile rank",,,number,0,100,,,,,
apracqual,parent_abas,,text,"Practical qualitative range",,,,1,10,,,,,
acs1,parent_abas,,text,"Conceptual-Social Score 1",,,,0,200,,,,,
acs2,parent_abas,,text,"Conceptual-Social Score 2",,,,0,200,,,,,
acsdif,parent_abas,,text,"Conceptual-Social difference",,,,-200,200,,,,,
acssd,parent_abas,,radio,"Conceptual-Social significant difference (Y/N)","0, Yes | 1, No",,,,,,,,,
acsrate,parent_abas,,text,"Conceptual-Social base rate in standardization sample (%)",,,,0,100,,,,,
acp1,parent_abas,,text,"Conceptual-Practical Score 1",,,,0,200,,,,,
acp2,parent_abas,,text,"Conceptual-Practical Score 2",,,,0,200,,,,,
acpdif,parent_abas,,text,"Conceptual-Practical difference",,,,-200,200,,,,,
acpsd,parent_abas,,radio,"Conceptual-Practical significant difference (Y/N)","0, Yes | 1, No",,,,,,,,,
acprate,parent_abas,,text,"Conceptual-Practical base rate in standardization sample (%)",,,,0,100,,,,,
asp1,parent_abas,,text,"Social-Practical Score 1",,,,0,200,,,,,
asp2,parent_abas,,text,"Social-Practical Score 2",,,,0,200,,,,,
aspdif,parent_abas,,text,"Social-Practical Difference",,,integer,-200,200,,,,,
aspsd,parent_abas,,radio,"Social-Practical significant difference (Y/N)","0, Yes | 1, No",,,,,,,,,
asprate,parent_abas,,text,"Social-Practical base rate in standarization sample (%)",,,number,0,100,,,,,
acomraw,parent_abas,,text,"Communication raw score",,,number,0,72,,,,,
acomscaled,parent_abas,,text,"Communication scaled score",,,number,0,20,,,,,
acomqual,parent_abas,,text,"Communication Qualitative range",,,,0,100,,,,,
acuraw,parent_abas,,text,"Community use raw score",,,number,0,69,,,,,
acuscaled,parent_abas,,text,"Community use scaled score",,,number,0,20,,,,,
acuqual,parent_abas,,text,"Community use qualitative range",,,,0,100,,,,,
afaraw,parent_abas,,text,"Functional academics raw score",,,number,0,69,,,,,
afascaled,parent_abas,,text,"Functional academics scaled score",,,number,0,20,,,,,
afaqual,parent_abas,,text,"Functional academics qualitative range",,,,0,100,,,,,
ahlraw,parent_abas,,text,"Home living raw score",,,number,0,75,,,,,
ahlscaled,parent_abas,,text,"Home living scaled score",,,number,0,20,,,,,
ahlqual,parent_abas,,text,"Home living qualitative range",,,,0,100,,,,,
ahsraw,parent_abas,,text,"Health and Safety raw score",,,number,0,66,,,,,
ahsscaled,parent_abas,,text,"Health and Safety scaled score",,,number,0,20,,,,,
ahsqual,parent_abas,,text,"Health and Safety qualitative range",,,,0,100,,,,,
alsraw,parent_abas,,text,"Leisure raw score",,,number,0,66,,,,,
alsscaled,parent_abas,,text,"Leisure scaled score",,,number,0,20,,,,,
alsqual,parent_abas,,text,"Leisure qualitative range",,,,0,100,,,,,
ascraw,parent_abas,,text,"Self-care raw score",,,number,0,68,,,,,
ascscaled,parent_abas,,text,"Self-care scaled score",,,number,0,20,,,,,
ascqual,parent_abas,,text,"Self-care qualitative range",,,,0,100,,,,,
asdraw,parent_abas,,text,"Self-direction raw score",,,number,0,75,,,,,
asdscaled,parent_abas,,text,"Self-direction scaled score",,,number,0,20,,,,,
asdqual,parent_abas,,text,"Self-direction qualitative range",,,,0,100,,,,,
asocialraw,parent_abas,,text,"Social raw score",,,number,0,69,,,,,
asocialscaled,parent_abas,,text,"Social scaled score",,,number,0,20,,,,,
asocialqual,parent_abas,,text,"Social qualitative range",,,,0,100,,,,,
acomsscore,parent_abas,,text,"Communication Skill area scaled score",,,,0,100,,,,,
acommsscore,parent_abas,,text,"Communication mean scaled score",,,,0,100,,,,,
acomdiff,parent_abas,,text,"Communication difference from mean",,,,-100,100,,,,,
acomsorw,parent_abas,,radio,"Communication Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
acomrate,parent_abas,,text,"Communication Base rate in standardization sample (%)",,,,,,,,,,
afasscore,parent_abas,,text,"Functional academcis skill area scaled score",,,,0,20,,,,,
afamsscore,parent_abas,,text,"Functional academics mean scaled score",,,,0,100,,,,,
afadiff,parent_abas,,text,"Functional academics difference from mean",,,,-100,100,,,,,
afasorw,parent_abas,,radio,"Functional academics Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
afarate,parent_abas,,text,"Functional academics Base rate in standardization sample (%)",,,,,,,,,,
asdsscore,parent_abas,,text,"Self-Direction skill area scaled score",,,,0,20,,,,,
asdmsscore,parent_abas,,text,"Self-Direction mean scaled score",,,,0,100,,,,,
asddiff,parent_abas,,text,"Self-Direction difference from mean",,,,-100,100,,,,,
asdsorw,parent_abas,,radio,"Self-Direction Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
asdrate,parent_abas,,text,"Self-Direction base rate in standardization sample (%)",,,,,,,,,,
alssscore,parent_abas,,text,"Leisure skill area scaled score",,,,0,100,,,,,
alsmsscore,parent_abas,,text,"Leisure mean scaled score",,,,0,100,,,,,
alsdiff,parent_abas,,text,"Leisure difference from mean",,,,-100,100,,,,,
alssorw,parent_abas,,radio,"Leisure Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
alsrate,parent_abas,,text,"Leisure Base rate in standardization sample (%)",,,,,,,,,,
asocialsscore,parent_abas,,text,"Social skill area scaled score",,,,0,100,,,,,
asocialmsscore,parent_abas,,text,"Social mean scaled score",,,,0,100,,,,,
asocialdiff,parent_abas,,text,"Social difference from mean",,,,-100,100,,,,,
asocialsorw,parent_abas,,radio,"Social Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
asocialrate,parent_abas,,text,"Social base rate in standardization sample (%)",,,,,,,,,,
acusscore,parent_abas,,text,"Community use skill area scaled score",,,,0,100,,,,,
acumsscore,parent_abas,,text,"Community use mean scaled score",,,,0,100,,,,,
acudiff,parent_abas,,text,"Community use difference from mean",,,,-100,100,,,,,
acusorw,parent_abas,,radio,"Community use Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
acurate,parent_abas,,text,"Community use base rate in standardization sample (%)",,,,,,,,,,
ahlsscore,parent_abas,,text,"Home Living skill area scaled score",,,,0,20,,,,,
ahlmsscore,parent_abas,,text,"Home Living mean scaled score",,,,0,100,,,,,
ahldiff,parent_abas,,text,"Home Living difference from mean",,,,-100,100,,,,,
ahlsorw,parent_abas,,radio,"Home Living strength or weakness","1, Strength | 2, Weakness",,,,,,,,,
ahlrate,parent_abas,,text,"Home Living base rate in standardization sample (%)",,,,,,,,,,
ahssscore,parent_abas,,text,"Health & Safety skill area scaled score",,,,0,20,,,,,
ahsmsscore,parent_abas,,text,"Health & Safety mean scaled score",,,,0,100,,,,,
ahsdiff,parent_abas,,text,"Health & Safety difference from mean",,,,-100,100,,,,,
ahssorw,parent_abas,,radio,"Health & Safety Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
ashsrate,parent_abas,,text,"Health & Safety base rate in standardization sample (%)",,,,,,,,,,
ascsscore,parent_abas,,text,"Self-care skill area scaled score",,,,0,20,,,,,
ascmsscore,parent_abas,,text,"Self-care mean scaled score",,,,0,100,,,,,
ascdiff,parent_abas,,text,"Self-care difference from mean",,,,-100,100,,,,,
ascsorw,parent_abas,,radio,"Self-care Strength or Weakness","1, Strength | 2, Weakness",,,,,,,,,
ascrate,parent_abas,,text,"Self-care base rate in standardization sample (5)",,,,,,,,,,
brief_relation,parent_brief,,text,"Relationship to child",,,,,,,,,,
b_inhibraw,parent_brief,,text,"Inhibit raw score",,,number,10,30,,,,,
b_shiftraw,parent_brief,,text,"Shift raw score",,,number,8,24,,,,,
b_emoraw,parent_brief,,text,"Emotional control raw score",,,number,10,30,,,,,
b_briraw,parent_brief,,text,"Behavioural regulation index raw score",,,number,28,85,,,,,
b_initraw,parent_brief,,text,"Initiate raw score",,,number,8,24,,,,,
b_wmraw,parent_brief,,text,"Working memory raw score",,,number,10,30,,,,,
b_planraw,parent_brief,,text,"Plan/organize raw score",,,number,12,36,,,,,
b_orgraw,parent_brief,,text,"Organization of materials raw score",,,integer,6,18,,,,,
b_monraw,parent_brief,,text,"Monitor raw score",,,integer,8,24,,,,,
b_miraw,parent_brief,,text,"Metacognitive index raw score",,,integer,44,135,,,,,
b_gecraw,parent_brief,,text,"Global executive composite raw score",,,integer,70,220,,,,,
b_inhibit_t,parent_brief,,text,"Inhibit T score",,,integer,0,100,,,,,
b_shift_t,parent_brief,,text,"Shift T score",,,integer,0,100,,,,,
b_emotion_t,parent_brief,,text,"Emotional control T score",,,integer,0,100,,,,,
b_bri_t,parent_brief,,text,"Behavioural regulation index T score",,,integer,0,100,,,,,
b_initiate_t,parent_brief,,text,"Initiate T score",,,integer,0,100,,,,,
b_wm_t,parent_brief,,text,"Working memory T score",,,integer,0,100,,,,,
b_plan_t,parent_brief,,text,"Plan/organize T score",,,integer,0,100,,,,,
b_orgmat_t,parent_brief,,text,"Organization of materials T score",,,integer,0,100,,,,,
b_monitor_t,parent_brief,,text,"Monitor T score",,,integer,0,100,,,,,
b_mi_t,parent_brief,,text,"Metacognitive index T score",,,integer,0,100,,,,,
b_gec_t,parent_brief,,text,"Global executive composite T score",,,integer,0,200,,,,,
b_inhibit_per,parent_brief,,text,"Inhibit percentile rank",,,number,0,100,,,,,
b_shift_per,parent_brief,,text,"Shift percentile rank",,,number,0,100,,,,,
b_emotion_per,parent_brief,,text,"Emotion percentile rank",,,number,0,100,,,,,
b_bri_per,parent_brief,,text,"Behavioural regulation index percentile rank",,,number,0,100,,,,,
b_initiate_per,parent_brief,,text,"Initiate percentile rank",,,number,0,100,,,,,
b_wm_per,parent_brief,,text,"Working memory percentile rank",,,number,0,100,,,,,
b_plan_per,parent_brief,,text,"Plan percentile rank",,,number,0,100,,,,,
b_org_per,parent_brief,,text,"Organization of materials percentile rank",,,number,0,100,,,,,
b_mon_per,parent_brief,,text,"Monitor percentile rank",,,number,0,100,,,,,
